"Guid","AccountId","Application__c","Comments","ContactId","Description","IsEscalated","ParentId","Priority","Reason","Status","Subject","SuppliedCompany","SuppliedName","SuppliedPhone","Type","TypeDetail__c"
0041e888-1ed6-4720-8ade-66e01ae62096,ceec5452-51ec-48bb-9e7c-ff0b394e1d6c,"#N/A","#N/A",1945f660-06d0-493c-9559-4e5cb4909ecc,User Needs Help,false,"#N/A",Medium,User didn't attend training,Approved,How to use parameters,"#N/A","#N/A","#N/A",Problem,"#N/A"
0049daf1-51a0-4f59-954e-3e01755167d3,76748e27-77d5-4192-a991-66bc6954cefd,"#N/A","#N/A",6e6db9ee-8595-40cd-8d02-a8b8a7cf1445,Is it possible to make our widgets waterproof?,false,"#N/A",Low,New problem,Approved,Widgets aren't waterproof,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
009e2489-1a1b-4858-ab58-84c3e45712be,292a19e5-d4f2-4a1d-b8f3-08007ee533a3,"#N/A","#N/A",ed696f91-22c2-4b09-be56-8cfe1edebbba,Is it possible to make our widgets waterproof?,false,"#N/A",Low,New problem,On Hold,Widgets aren't waterproof,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
00b300ab-f2d2-42e5-8a6b-debb05249ceb,f782f506-826c-47d4-95d2-69f4e289526c,"#N/A","#N/A",6c5e5c7b-fed4-46b6-809d-b307f1207298,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,Approved,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
00bb65b2-67a6-4ef8-8701-d2daec4e243d,e87e55a8-d583-4751-8e03-4cc10d2e3d45,"#N/A","#N/A",9ef25b2e-07f8-48ba-a9d6-93e53ebf146a,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,Escalated,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
016e5b7b-6352-4e1e-b072-78ba2c2f146c,05ad14ed-a4b3-4b05-a662-ba90845e0c72,"#N/A","#N/A",e77e93e9-dbae-4d13-8171-0137384714ce,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,false,"#N/A",Medium,Instructions not clear,Closed,How do we restrict access?,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
01c7d58b-b0d8-40e9-8f17-dd58406e18af,d3053ca7-894e-4b3d-b4ea-1974b5686046,"#N/A","#N/A",9ad8c0d6-b1d5-475f-9c43-73a9b0a145e6,I'm having trouble using the xyz widget....,false,"#N/A",High,Instructions not clear,Pending Approval,Trouble using the xyz widget,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
01d2e230-dab8-4319-b839-585fd7684fb3,c3c0f12a-7588-4cba-af2b-079722120fea,"#N/A","#N/A",0e10c8ff-be74-47dc-b921-04051c2a9896,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,Pending Approval,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
01e878aa-990e-4b69-9afa-96f3d61d77c8,c1800b5e-7dd9-48f4-93df-c6fc6c379ba3,"#N/A","#N/A",86f01d90-8868-4c6e-a206-fb06dc2f3c11,I'm having trouble using the xyz widget....,false,"#N/A",High,Instructions not clear,Escalated,Trouble using the xyz widget,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
022452f5-0192-4768-92c4-d2e22bdc43f1,d13be5bd-0de2-4c54-976e-de3f9caa1018,"#N/A","#N/A",d9b824f5-b4b7-4380-9aec-6945c43f086d,I was wondering if It is possible to o delete my profiles and start from scratch?,false,"#N/A",Medium,User didn't attend training,Closed,Can I delete all my profiles?,"#N/A","#N/A","#N/A",Question,"#N/A"
0254f803-9c26-42de-b52b-9604985f5f1b,76748e27-77d5-4192-a991-66bc6954cefd,"#N/A","#N/A",e8b22756-5467-4afc-8768-a33abed28af0,Is it possible to make our widgets waterproof?,false,"#N/A",Low,New problem,Approved,Widgets aren't waterproof,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0289473e-aeb4-4891-a8ea-5e32efa66668,641e8a6b-421a-49ac-9b2f-584ff0426f81,"#N/A","#N/A",61e76767-1e27-4828-8e69-b4a7a667099c,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,New,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
02aab1b7-1f07-4025-b4dd-556c44e0604d,f6bb1234-bde0-49b0-8233-211caae0bb0f,"#N/A","#N/A",8ec6c1b0-c8bd-4b52-82a1-c0cd3a66b32a,I was wondering if It is possible to o delete my profiles and start from scratch?,false,"#N/A",Medium,User didn't attend training,Pending Approval,Can I delete all my profiles?,"#N/A","#N/A","#N/A",Question,"#N/A"
02d98938-589b-467c-bf9d-88ee4453f353,9fde7171-31cf-4c0e-848c-b95d7826f08b,"#N/A","#N/A",dfd0fb51-bdcb-4a56-b597-2b50053278b7,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,false,"#N/A",Medium,Instructions not clear,Rejected,How do we restrict access?,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
02df83bf-90f5-4bbd-949e-4abb7dc66fa3,d98994db-7868-4884-9b0e-6cf91f2a4252,"#N/A","#N/A",8f3b2409-2c40-40fe-a34b-fe5cf62ac253,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,New,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
030d5c03-d2ab-4dac-a901-57e7140e574a,210a7e16-1f76-4a98-bdd4-88fc7c26bd8b,"#N/A","#N/A",1a573a67-55e1-4787-b662-da2d9ab7409f,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,Closed,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
036f62f5-f0fa-4d0a-9e46-bbf98bd2f7e6,b23afcaa-b2e3-486e-bdba-90304e8585d3,"#N/A","#N/A",057cdfef-cb22-40a7-b703-52e9fc15d8de,I'm having trouble using the xyz widget....,false,"#N/A",High,Instructions not clear,Pending Approval,Trouble using the xyz widget,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
039ee53b-24a4-4427-a6b4-6a8efce00667,a11cae1c-9354-4b45-aa15-d6cf715ad503,"#N/A","#N/A",97afe830-2f8d-4c15-9421-363a2fade9c9,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,false,"#N/A",Medium,Instructions not clear,Escalated,How do we restrict access?,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
03a4a288-a785-4f36-ba58-7a5b0e0b7aaf,9d6f00a2-5127-49ef-8922-4a0fbb277c3b,"#N/A","#N/A",70d1543a-ae5b-4de5-912c-612d2b932ce2,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,Escalated,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
03b1096f-b525-4e2c-8e38-1534524ae682,59ba3ded-5329-44b0-96f7-f241cb95306a,"#N/A","#N/A",c2b4f93e-dacb-4a1e-a6de-e0f143e24648,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,Rejected,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
03c6a3f4-3563-4801-9baa-e422d0722448,7d7982a6-c395-48a7-a798-6695ca118534,"#N/A","#N/A",b831f0dc-2dc9-463b-be5b-dd451ce850e6,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,New,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
03dc1583-9238-4546-ad31-051b6df3392b,b75cdf65-7a79-48e6-8d10-5e08cb290181,"#N/A","#N/A",d17149cd-3767-4b69-9e79-a8e00c94bf13,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,Escalated,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
03f956fa-cfd3-40ae-9c3a-fb7feaac91e1,23ce3f5f-f599-49fc-b4f6-3e4cd0ab3809,"#N/A","#N/A",70d1543a-ae5b-4de5-912c-612d2b932ce2,Is it possible to make our widgets waterproof?,false,"#N/A",Medium,New problem,Approved,Widgets aren't waterproof,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0411877e-0c8e-4cb7-a91f-bafa78291ef2,f2cd59e3-aa50-4339-8d2b-855f9dab75d7,"#N/A","#N/A",d4256e69-17ba-4209-86a8-cd0d77022e6d,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,false,"#N/A",Medium,Instructions not clear,On Hold,How do we restrict access?,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
041a2b66-802d-419f-99f7-18500c1c9371,f6bc67cb-92cd-4ed6-a978-34951c3af38b,"#N/A","#N/A",5ef1079d-e73c-47da-acdb-e8a59415c8f4,I'm having trouble using the xyz widget....,false,"#N/A",High,Instructions not clear,New,Trouble using the xyz widget,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
041ffa60-f73e-4f5f-9fab-742da7c900e1,210a7e16-1f76-4a98-bdd4-88fc7c26bd8b,"#N/A","#N/A",9876a70c-e9d1-40b2-a7f9-73a00fd3c288,I'm having trouble using the xyz widget....,false,"#N/A",High,Instructions not clear,New,Trouble using the xyz widget,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
043c8847-f020-4765-b8ea-67b24dec116e,56c3380d-3fef-4f9d-9a48-939666a8bddd,"#N/A","#N/A",64cac03e-160b-49a3-bc23-64b364189b11,I was wondering if It is possible to o delete my profiles and start from scratch?,false,"#N/A",Medium,User didn't attend training,Approved,Can I delete all my profiles?,"#N/A","#N/A","#N/A",Question,"#N/A"
04ae6396-8e51-4d9d-b67e-a02530b1cf23,e1a5cd00-57ea-4cfa-b0ed-daba7d98a467,"#N/A","#N/A",de5bf567-b2ac-430b-a250-1992dc224c3b,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,Approved,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
04d0e077-dbff-4808-9f59-fdad9c40d8fa,f6bb1234-bde0-49b0-8233-211caae0bb0f,"#N/A","#N/A",fd1d8673-9c13-489e-82a4-567cbe597e70,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,Closed,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
05149411-78de-4020-8e58-4d28089c062b,07ffc794-3916-4ba1-8808-14e099ffb6d1,"#N/A","#N/A",2cb72c64-2c80-469c-a5a2-c39cc9c1e351,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,Escalated,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
05636cd4-f329-4bad-a106-0f057be4f8d9,c1800b5e-7dd9-48f4-93df-c6fc6c379ba3,"#N/A","#N/A",ad6724e0-3846-4cc2-8f71-f647e7b27c42,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,false,"#N/A",Medium,Instructions not clear,Pending Approval,How do we restrict access?,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
059510a9-b95a-4456-a8f9-52d180e44342,a0fa5923-8383-4b45-a5c0-8512b7433db6,"#N/A","#N/A",66919792-673d-4ecf-992c-32e99c2e6554,EMEA Case,false,"#N/A",Medium,Complex functionality,On Hold,Problem in   Scheduled Event,"#N/A","#N/A","#N/A",Problem,"#N/A"
05b667d1-e0e9-4800-a2c7-f2d7b1bd017c,b23afcaa-b2e3-486e-bdba-90304e8585d3,"#N/A","#N/A",a534fadb-1b59-4f41-b485-8027c90c73cf,I'm having trouble using the xyz widget....,false,"#N/A",High,Instructions not clear,New,Trouble using the xyz widget,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
063c1722-6840-4959-ab20-18b85cd07c24,ababff38-4578-4e08-8890-2e39ab7dbfb9,"#N/A","#N/A",25e480bc-e8fd-4f01-96fe-afdaeb14b158,Is it possible to make our widgets waterproof?,false,"#N/A",Low,New problem,On Hold,Widgets aren't waterproof,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
063fcbea-2b62-46bc-b766-a73b5dac416c,aaa9ff9f-6446-4a83-be85-818c8fcdf793,"#N/A","#N/A",b992f9fe-834f-44f7-9061-52a297e6cc2d,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,On Hold,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
0650e876-197a-4365-b5e5-5ddb08653034,7c7bc51c-9d69-4f5b-8a33-31aa9a667e33,"#N/A","#N/A",e41aa084-e3c4-40bc-80d0-164939d1da93,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,Approved,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0652341a-2fda-457e-a65f-e175feed483a,f8a47c2c-fc3b-4c9e-9acb-3d22bef201df,"#N/A","#N/A",61c256e3-2bff-4ec2-990e-957976382ea4,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,New,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
06626f6f-05f5-4c1d-9302-be68b6590f5b,3e618f3f-9734-4a35-a6e9-0770d1678c39,"#N/A","#N/A",83899b72-0e30-4d6b-ae69-9e3bfe9e81eb,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,Escalated,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0690d943-1dd4-43ad-8110-8f2c6cb53b99,e5035626-d6ea-47fb-b481-e7d3b05fdda2,"#N/A","#N/A",da26cac6-2f09-4c23-8a29-f7443fe3dd52,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,On Hold,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
06e576cd-d848-4b36-ba43-fee3e348b146,a11cae1c-9354-4b45-aa15-d6cf715ad503,"#N/A","#N/A",4a42da44-1ed4-40eb-aa56-050d4a8090fd,I'm having trouble using the xyz widget....,false,"#N/A",High,Instructions not clear,Approved,Trouble using the xyz widget,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0739bd87-fe46-4032-ae01-ac4cf1172e60,5100857c-1520-47c9-a576-a2bbd24b8f1c,"#N/A","#N/A",67400673-f07d-4c60-8fc3-ddf364b8652e,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,Rejected,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
0758574d-82ad-422c-b635-597803307e74,1428ad1a-54ab-4a26-9fa9-3132d8c35782,"#N/A","#N/A",d0e295a5-3e08-44b9-ad4f-4c0da38aad82,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,Approved,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
075cc021-fa69-43af-ae26-5e0b5563d912,dacd6726-2282-4204-9f6f-41357e172399,"#N/A","#N/A",1a32ab21-3143-4535-964d-300ed8f74f44,My screen freezes whenever I try to upgrade. What do you recommend?,false,"#N/A",Medium,Complex functionality,New,Having trouble upgrading to the latest version,"#N/A","#N/A","#N/A",Problem,"#N/A"
0781cdd5-faef-4681-b23f-2c3487642981,37fe4d88-c638-4fda-8b0e-3e9f13b59ec9,"#N/A","#N/A",71aa5056-31de-42e7-93eb-2c583e9d0329,Is it possible to make our widgets waterproof?,false,"#N/A",Low,New problem,Approved,Widgets aren't waterproof,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
078aefd2-d1aa-4bf1-89e4-4328692bad2c,07f02b8a-4e74-40b8-886f-dde2dc55b552,"#N/A","#N/A",c46130ec-910c-454e-9adf-5df9be02c896,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,false,"#N/A",Medium,Instructions not clear,Approved,How do we restrict access?,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
07927291-3aac-4221-b81a-631217ecf094,70205bf9-736c-49c5-ae32-a967f24aecd9,"#N/A","#N/A",7f12c3aa-684f-40cc-a021-bec139f8cd5d,I was wondering if It is possible to o delete my profiles and start from scratch?,false,"#N/A",Medium,User didn't attend training,Pending Approval,Can I delete all my profiles?,"#N/A","#N/A","#N/A",Question,"#N/A"
07adf165-c7ac-4013-89a1-b9e2aa891f72,585bca4c-9bb4-40fb-9335-006d91298dc2,"#N/A","#N/A",e41aa084-e3c4-40bc-80d0-164939d1da93,Prefers Direct Phone Outreach,false,"#N/A",Medium,New problem,Escalated,Faulty widget,"#N/A","#N/A","#N/A",Problem,"#N/A"
07f8ead3-1e75-46c5-8acc-5a73a802fc98,26258eba-e337-4dca-8ed1-5f562843401e,"#N/A","#N/A",09cd89da-945d-4580-b112-c811ad68d735,I was wondering if It is possible to o delete my profiles and start from scratch?,false,"#N/A",Medium,User didn't attend training,New,Can I delete all my profiles?,"#N/A","#N/A","#N/A",Question,"#N/A"
080900c7-db94-435d-9056-237d453f808b,0ed6e1df-248d-4cdc-8dda-0832ddf03126,"#N/A","#N/A",2070cc0b-1951-4e5a-9099-46d5ffc936ce,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,Rejected,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
081e81b4-99da-480f-a97c-426c31e7481f,10e91ef8-aa9e-46d3-98c4-3dcd2daebaf3,"#N/A","#N/A",64f2061a-2dac-4a3a-a9ad-5259437e33a8,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,New,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
08225e23-4756-4fc8-a6bc-0f1f6cda80b0,10e91ef8-aa9e-46d3-98c4-3dcd2daebaf3,"#N/A","#N/A",0ece7352-dd79-4304-bee7-92099c923f70,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,On Hold,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
083601b2-4e26-4996-b906-5a95f270df8d,dd7d4738-6278-42df-964f-d94cfc6722a2,"#N/A","#N/A",f5f39f9e-83a6-4e65-ace8-e8e229345018,Is it possible to make our widgets waterproof?,false,"#N/A",Low,New problem,On Hold,Widgets aren't waterproof,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
08549c41-36a1-46ca-8d3a-5128bdfa9dc7,9fde7171-31cf-4c0e-848c-b95d7826f08b,"#N/A","#N/A",eabc58fa-52ef-467d-b299-1ed2a4952ed5,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,New,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
089b0bac-d91b-4201-b30e-bccebcb1805a,62b16da5-892f-4567-94c2-b4dc490d0182,"#N/A","#N/A",cb91ae9f-100e-4a84-b993-f99988d73f7a,Is it possible to make our widgets waterproof?,false,"#N/A",Low,New problem,Pending Approval,Widgets aren't waterproof,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
08afbdd9-dd1f-4418-a50b-ead29129354a,185fc0c9-6005-4fb7-8a86-3a035173bad4,"#N/A","#N/A",aaf0b8a2-a09b-479d-8ffc-0afa5903b487,The administrative override feature is assigning controls to a non-admin.,false,"#N/A",Medium,New problem,Rejected,Administrative override feature not working,"#N/A","#N/A","#N/A",Problem,"#N/A"
08ed7fc8-3947-4715-b3db-860c3af08348,3e618f3f-9734-4a35-a6e9-0770d1678c39,"#N/A","#N/A",53f22cd1-f3b1-4b03-8905-179bcc76ec24,User Needs Help,false,"#N/A",Medium,User didn't attend training,New,Data not showing sorted,"#N/A","#N/A","#N/A",Problem,"#N/A"
08fbecf8-5b3d-4466-acd7-1f3d135029ec,7d7982a6-c395-48a7-a798-6695ca118534,"#N/A","#N/A",51b09280-d6ef-483e-87a5-1e160697418e,EMEA Case,false,"#N/A",Medium,User didn't attend training,New,Some fields from report not populating,"#N/A","#N/A","#N/A",Problem,"#N/A"
092ec64a-f7b8-4837-84b3-c5210677f8cd,e1a5cd00-57ea-4cfa-b0ed-daba7d98a467,"#N/A","#N/A",ba3f842e-56e3-42f0-94ef-3af4b345d697,I was wondering if It is possible to o delete my profiles and start from scratch?,false,"#N/A",Medium,User didn't attend training,On Hold,Can I delete all my profiles?,"#N/A","#N/A","#N/A",Question,"#N/A"
0935af58-226c-4cc3-a9af-230defa20d99,07ffc794-3916-4ba1-8808-14e099ffb6d1,"#N/A","#N/A",3c25bd90-2bf8-4f9d-b0f2-caafb54f1d7b,Is it possible to change the color of the emergency shut-off button?  It really needs to be red.,false,"#N/A",Medium,New problem,Closed,Emergency shut-off button isn't red,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
09548765-0ad5-4f13-8fff-5097ba2c69fa,f12d92b9-6eff-4056-abb1-186a6b059e4d,"#N/A","#N/A",a368ccda-021f-4047-86b6-07b2493e6d01,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,On Hold,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
097cef75-dad4-4320-afb6-e376b7bcc586,d1eaeb22-9e06-4cb9-8bde-b69c1a0fbd67,"#N/A","#N/A",6d6220ee-c1a2-43bd-86b1-02a9b43888e2,I'm having trouble using the xyz widget....,false,"#N/A",High,Instructions not clear,Escalated,Trouble using the xyz widget,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
09bf9cf9-ec56-4b7b-968e-b5531979b8cc,2214be73-a2ef-4d40-9324-b63950d20651,"#N/A","#N/A",4df8709f-a23a-4053-89fb-d829aabe480b,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,Pending Approval,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
09c1d001-cd52-42e2-8178-40762aaa2273,185fc0c9-6005-4fb7-8a86-3a035173bad4,"#N/A","#N/A",4b68c372-4535-4104-b35e-88b71feaaa79,I was wondering if It is possible to o delete my profiles and start from scratch?,false,"#N/A",Medium,User didn't attend training,Pending Approval,Can I delete all my profiles?,"#N/A","#N/A","#N/A",Question,"#N/A"
0a20d8cb-4250-41ee-bb99-9c93aba4ee2c,dd7d4738-6278-42df-964f-d94cfc6722a2,"#N/A","#N/A",574934bd-64cb-41c9-807e-e73dbc89d9d2,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,New,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0a38d177-232d-4c26-ba58-054b1c2490e1,5941b6a5-5170-432e-9701-fa58e1eea3c8,"#N/A","#N/A",84056cd7-534b-4081-9c88-03b9488d50aa,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,false,"#N/A",Medium,Instructions not clear,On Hold,How do we restrict access?,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0a3ea8f7-8259-453f-b873-5a8c5232c90c,70205bf9-736c-49c5-ae32-a967f24aecd9,"#N/A","#N/A",2e48535d-0470-4f41-a0f2-e33d86e7d0ca,I have forgotten my login. Please send me new credentials.,false,"#N/A",Medium,Instructions not clear,New,Login credentials,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0a4f99c9-1cfb-47a3-afa0-f9b8fac3175a,b05b6bb4-566d-448e-bbbb-bb5509b2aaac,"#N/A","#N/A",2400a061-a000-4d31-9758-0d84abfeb9c9,Is it possible to make our widgets waterproof?,false,"#N/A",Low,New problem,Closed,Widgets aren't waterproof,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0a51c0be-0def-4915-a6b4-f2f7561cfc6f,79a3828a-4134-48e5-8077-9a6492c2447f,"#N/A","#N/A",9089f242-896d-426d-8d7e-96fe25af90cb,When I upgraded to the newest version some of my integrations broke,false,"#N/A",High,New problem,Closed,Newest update cause an error,"#N/A","#N/A","#N/A",Problem,"#N/A"
0aad928d-bf84-4569-b536-2d82d8225251,ecf94f26-d115-47a3-805c-4060cf9e542d,"#N/A","#N/A",4129f167-06f0-437e-a39d-6b6545af8883,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,Escalated,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0aaea7d5-7e63-45b6-a01c-0ae9d76dc315,aaa9ff9f-6446-4a83-be85-818c8fcdf793,"#N/A","#N/A",fe60d405-d4b1-4edb-a03e-6a28a3ce3c82,I'm having trouble using the xyz widget....,false,"#N/A",High,Instructions not clear,Approved,Trouble using the xyz widget,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0acef354-453d-4b05-ac7c-746a865d6e4c,acdb972f-0fea-4a9d-85d0-1940db7fa5f3,"#N/A","#N/A",21b4eeda-4e12-432b-bd0e-df7b5ca61401,I'm having trouble using the xyz widget....,false,"#N/A",High,Instructions not clear,On Hold,Trouble using the xyz widget,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0af79d84-8491-4a27-8c71-5ebdd37f2706,70205bf9-736c-49c5-ae32-a967f24aecd9,"#N/A","#N/A",ab78948b-0f98-4b0e-9460-8bd51f1f061a,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,On Hold,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0b56df82-3d4a-4174-8639-0a744576ea01,1428ad1a-54ab-4a26-9fa9-3132d8c35782,"#N/A","#N/A",7a5fdc74-13f7-4f3b-b335-fe6895821c67,My company makes and app. Can we integrate it with your products?,false,"#N/A",Medium,Complex Functionallity,On Hold,Third Party Integrations,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0b8d2839-c515-44ab-a99c-0a3200c57f95,4ef1d2af-8174-4ce4-b114-f13d2888ccdd,"#N/A","#N/A",ce023756-40aa-4fe0-98f5-7b459bedaa3a,I'm having trouble using the xyz widget....,false,"#N/A",High,Instructions not clear,Approved,Trouble using the xyz widget,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
0bcfa4e8-1362-4c85-83dc-8fac172e28a9,4aacc34c-f7ad-42a6-90a9-4fe5a81e0fe0,"#N/A","#N/A",f46c8397-8e12-4368-96c6-b047d067b550,After we received your new waterproof widgets we noticed they didn't float. What gives?,false,"#N/A",Low,New problem,Pending Approval,Waterproof Widgets don’t float,"#N/A","#N/A","#N/A",Feature Request,"#N/A"
